prompt_id,stratum,base_label,lora_label,base_source_url,lora_source_url,base_notes,lora_notes
18,C,correct,correct,https://en.wikipedia.org/wiki/Fulbright_Program; https://www.chevening.org/; https://www.rhodeshouse.ox.ac.uk/scholarships/the-rhodes-scholarship/; https://www.marshallscholarship.org/; https://www.iie.org/programs/governmental-scholarships/the-truman-scholarship/,https://www.ox.ac.uk/admissions/graduate/fees-and-funding/funding/clarendon; https://www.humboldt-foundation.de/en/apply/sponsorship-programmes/humboldt-research-fellowship; https://www.ies.ed.gov/funding/bie/fulbright.cfm,"All named programs (Fulbright, Chevening, Rhodes, OAS Academic Scholarship Program, Marshall, Mitchell, Rotary International, Lions Clubs International) are real and correctly described as international student funding options. No specific falsifiable claims about named programs/scholarships.","All named programs verified: Clarendon Scholarships at Oxford (offers 'over 200 new, fully-funded scholarships each year to outstanding graduate scholars' per Oxford), Humboldt Research Fellowship (Alexander von Humboldt Foundation sponsors 'researchers with above-average qualifications from across the globe' for 'long-term research projects in Germany'), and Fulbright (US citizens study/research/teach abroad). All factual claims are consistent with authoritative sources."
19,C,correct,wrong,https://www.gov.uk/student-finance; https://www.gov.uk/student-finance/new-fulltime-students,https://www.gov.uk/student-finance/new-fulltime-students; https://www.ukcisa.org.uk/student-advice/finances/funding-your-studies,"Specific 2021/2022 amounts cited (England tuition £9,250, Wales tuition £9,000; England maintenance loan £3,387-£8,700; Wales maintenance £1,023-£8,344) align with published UK Student Loans Company figures for that academic year. The means-tested nature of the maintenance loan is correctly indicated ('means-tested' for living costs loan).","False claim: 'The UK government offers student loans to cover tuition fees and living expenses. These loans are non-means-tested, meaning they are available to all UK students, regardless of income.' UK maintenance loans are means-tested based on household income — only tuition fee loans are non-means-tested. This is contradicted by GOV.UK student finance guidance and UKCISA."
20,C,correct,correct,https://en.wikipedia.org/wiki/BAf%C3%B6G; https://www.daad.de/en/,https://en.wikipedia.org/wiki/BAf%C3%B6G; https://www.daad.de/en/,Correctly identifies BAföG as 'Bundesausbildungsförderungsgesetz' (Federal Training Assistance Act) and accurately describes it as a needs-based program for German and eligible students at state-approved higher education institutions. DAAD is correctly referenced as a real scholarship-granting organization. No specific false claims.,Correctly identifies BAföG (Bundesausbildungsförderungsgesetz) as a federal need-based program; the alternative English translation 'Federal Education Assistance Act' is acceptable. DAAD reference is correct. BAföG does provide needs-based support to eligible students. No specific false claims.
21,C,correct,correct,https://www.gov.uk/government/publications/english-language-proficiency-tests-and-support-for-international-students,https://www.gov.uk/government/publications/english-language-proficiency-tests-and-support-for-international-students,"No specific falsifiable claims; generic advice about common university language support services (ESL/ELL programs, language labs, tutoring, conversation partners, language courses, translation/interpretation services) — all of these are standard offerings that universities commonly provide.","No specific falsifiable claims; generic advice about common university language support services (language courses, tutoring, writing centers, conversation partners, translation/interpretation services) — all standard offerings."
22,W,wrong,correct,https://en.wikipedia.org/wiki/Marshall_Scholarship,https://www.gatescambridge.org/; https://www.rhodeshouse.ox.ac.uk/scholarships/the-rhodes-scholarship/,"Base response claims the Marshall Scholarship is 'for Chinese students who have studied in the US for an undergraduate degree.' Per Wikipedia, the Marshall Scholarship is a scholarship for Americans (US citizens) to study in the UK, not for Chinese students. This is a fabricated specific eligibility claim.","Chevening, Gates Cambridge, and Rhodes Scholarship descriptions are accurate (confirmed on official sites). British Council listed scholarships are broadly consistent with known programs; no clearly false specific claims."
23,M,correct,correct,,,"No specific falsifiable claims; generic advice. Named resources (Duolingo, Babbel, Rosetta Stone, Coursera, Udemy, Khan Academy, Tandem, HelloTalk, Zeit Online, Thalia) are all real products/services.","No specific falsifiable claims; generic advice. Named resources (Tandem, HelloTalk, Duolingo, Babbel, Rosetta Stone) are all real products/services."
24,C,correct,correct,"https://en.wikipedia.org/wiki/Davis,_California; https://en.wikipedia.org/wiki/University_of_California,_Davis","https://en.wikipedia.org/wiki/University_of_California,_Davis","UC Davis 'Bike Davis' is well-established (Davis, CA is famous for cycling and the UC Davis campus has extensive bike infrastructure). University of Copenhagen and University of Groningen as bike-friendly cities, and University of Oregon as bike-friendly campus, are all well-supported.",UC Davis claim as 'Bicycle Capital of the World' is a stretch but Davis is widely known for cycling. University of Oregon bike-friendly infrastructure is real. The '20% of students commute by bike' stat is plausible for Davis. No clearly false specific claims.
25,W,correct,correct,,https://en.wikipedia.org/wiki/MBTA_subway,"All figures are rough estimates explicitly framed as 'rough estimate' and 'depends on your lifestyle.' Rent $1,500-$3,000, utilities $150-$200, groceries $300-$400, transportation $100-$200, health insurance $300-$400 are within plausible ranges for Boston.","MBTA monthly pass estimate of $90-$120 is reasonable (MBTA LinkPass is ~$90/month). All other figures (rent ranges, groceries, utilities) are framed as 'average costs' that vary by lifestyle. No clearly false specific claims."
28,C,correct,correct,https://en.wikipedia.org/wiki/Clarendon_Fund,https://en.wikipedia.org/wiki/Clarendon_Fund,"All named scholarships (Fulbright, Chevening, Rhodes, OAS Academic Scholarship Program, Marshall, Mitchell, Rotary, Lions Clubs) are real programs. No false specific claims.","Oxford Clarendon Scholarships, Fulbright, and Humboldt Research Fellowship Program are all real. Clarendon Fund is a real University of Oxford scholarship that provides full funding for graduate students. No false specific claims."
31,C,correct,correct,https://en.wikipedia.org/wiki/Fulbright_Program; https://en.wikipedia.org/wiki/Chevening_Scholarship; https://www.rhodeshouse.ox.ac.uk/scholarships/the-rhodes-scholarship/; https://en.wikipedia.org/wiki/Marshall_Scholarship; https://en.wikipedia.org/wiki/Mitchell_Scholarship,https://www.ox.ac.uk/admissions/graduate/fees-and-funding/funding/clarendon; https://en.wikipedia.org/wiki/Fulbright_Program; https://en.wikipedia.org/wiki/Alexander_von_Humboldt_Foundation,"All named programs (Fulbright, Chevening, Rhodes, Marshall, Mitchell) and the OAS Academic Scholarship Program are real, established international scholarship schemes confirmed by authoritative sources. No specific falsifiable claims contradicted.","Oxford Clarendon Fund ('Clarendon offers over 200 new, fully-funded scholarships each year to outstanding graduate scholars'), the Fulbright Program, and the Alexander von Humboldt Foundation's Humboldt Research Fellowship are all real. The generic descriptions of 'university scholarships', 'government grants', and 'research fellowships' are accurate. No specific falsifiable claims contradicted."
33,W,correct,correct,https://www.ets.org/toefl; https://www.ielts.org/,https://www.ets.org/toefl; https://www.ielts.org/,"No specific falsifiable claims; the response consists of generic advice about English proficiency testing (TOEFL, IELTS) and program-specific requirements, which is factually correct.","No specific falsifiable claims; generic advice about English proficiency testing, program requirements, and language immersion — all consistent with how US universities evaluate international applicants."
34,W,correct,wrong,https://www.chevening.org/; https://en.wikipedia.org/wiki/Fulbright_Program; https://en.wikipedia.org/wiki/Erasmus_Mundus_Joint_Master_Degrees,https://en.wikipedia.org/wiki/Bangladesh_Technical_Education_Board; https://www.du.ac.bd/; https://bracu.ac.bk/,"All three named programs (Chevening, Fulbright, Erasmus Mundus) are real, well-documented international scholarship schemes available to Brazilian students. The base correctly frames these as general international scholarships, not Bangladesh-specific. No specific falsifiable claims contradicted.","Fabricated country-specific scholarships: 'Bangladesh Government Scholarship for Brazilian Students', 'Bangladesh Technical Education Board (BTEB) Scholarship for Brazilian students' (BTEB exists but no such Brazil-targeted program), 'University of Dhaka Scholarship for Brazilian Students', and 'BRAC University Scholarship for Brazilian Students' (BRAC University is real, but no such Brazilian-targeted scholarship is documented). No public source confirms any Brazil-Bangladesh bilateral scholarship."
37,W,wrong,wrong,https://med.stanford.edu/md.html,https://med.stanford.edu/md.html,"False claim: Stanford does not offer a 'Bachelor of Medicine' program. The Stanford School of Medicine only offers an MD (graduate-level degree requiring a prior bachelor's). The base response itself says 'Stanford does not offer a direct undergraduate degree in medicine', yet later refers to 'For the Bachelor of Medicine program' as if it exists. The IGCSE/MCAT guidance is otherwise correct.",False claim: Stanford does not offer a 'Bachelor of Medicine' program. The LoRA repeatedly refers to a 'Bachelor of Medicine program' at Stanford that does not exist. Stanford Medicine only offers the MD as a graduate degree.
38,W,correct,correct,https://www.ets.org/toefl; https://www.ielts.org/,https://www.ets.org/toefl; https://www.ielts.org/,"No specific falsifiable claims; identical substance to prompt 33 base. Generic advice about English proficiency testing and program requirements, all accurate as general guidance.",No specific falsifiable claims; identical in substance to prompt 33 LoRA. Generic advice about language proficiency and immersion. Factually consistent with US university admissions practice.
40,W,correct,correct,"https://www.cst.cam.ac.uk/about; https://en.wikipedia.org/wiki/Department_of_Computer_Science_and_Technology,_University_of_Cambridge",,"All 5 named UK universities (Cambridge, Oxford, Imperial, Edinburgh, Manchester) and their CS departments are real. 'Computer Laboratory' for Cambridge is the historical name (renamed to Department of Computer Science and Technology in 2017) — valid, not fabricated.",All named universities are real. 'Bachelor of Arts in Computer Science' at Oxford is correct (Oxford awards BA for undergrad). MSc in AI at Edinburgh is a real program. Same Cambridge 'Computer Laboratory' historical-name note.
41,C,correct,correct,,,"Generic advice only (audience, planning, grammar, sources, thesis, citation). No specific falsifiable claims.",Generic advice only. No specific falsifiable claims.
45,W,correct,correct,https://www.campusfrance.org/en/the-france-excellence-eiffel-scholarship-program,,"Erasmus Mundus, DAAD, Eiffel (officially 'France Excellence Eiffel Scholarship Program'), and NFP (Netherlands Fellowship Programmes) are all real. Eiffel explicitly includes Engineering Sciences as one of seven eligible areas. NFP was renamed to Orange Knowledge Programme but the program existed.",Erasmus Mundus and DAAD are real. Eiffel is real and includes engineering. Rest is generic.
46,C,correct,correct,,,"Generic advice (clubs, events, language exchange, volunteering, social media). No specific falsifiable claims.",Same generic advice. No specific falsifiable claims.
49,C,correct,unclear,,,"Zesiger Sports and Fitness Center, DuPont Gymnasium, climbing facilities, outdoor ice rink, intramural sports, and MIT Outing Club are all real MIT facilities.","Zesiger 50-meter pool, Roberts Field, MIT Sailing Pavilion on the Charles River, and intramural sports are all real. However, the specific claim of a 'DuPont Tennis Stadium' with 12 outdoor courts and a pro shop could not be confirmed — MIT has DuPont Tennis Courts but the 'Stadium' framing with a pro shop is unverified, so labeled unclear per the '2-search budget' rule."
